Suburb,Location,lon,lat,Postcode
Abbotsford,"Hoddle Street at the intersection of Hoddle Street and Victoria Street, Abbotsford,Vic, Australia",144.9914274,-37.8096172,3067
Altona North,"Blackshaws Road at the intersection of Blackshaws Road and Millers Road, Altona North,Vic, Australia",144.8481951,-37.8312192,3025
Altona North,"Intersection of Blackshaws Road and Millers Road, Alton North,Vic, Australia",144.8481951,-37.8312192,3025
Armadale,"Kooyong Road at the intersection of Kooyong Road and Dandenong Road, Armadale,Vic, Australia",145.0194325,-37.8628785,3143
Armadale,"Kooyong Rd at the intersection of Kooyong Road and Malvern Road, Armadale,Vic, Australia",145.0214449,-37.8504976,3143
Aspendale Gardens,"Wells Road at the intersection of Wells Road and Palm Grove Boulevard, Aspendale Gardens,Vic, Australia",145.1186055,-38.0190759,3195
Aspendale Gardens,"Wells Road at the intersection of Wells Road and Nurten Parade, Aspendale Gardens,Vic, Australia",145.1241476,-38.0221196,3195
Balwyn,"Intersection of Balwyn Road and Whitehorse Road, Balwyn,Vic, Australia",145.081332,-37.8128389,3103
Balwyn,"Whitehorse Road at the intersection of Whitehorse Road and Burke Road, Balwyn,Vic, Australia",145.0606898,-37.8103733,3103
Balwyn North,"Doncaster Road at the intersection of Doncaster Road and Gardenia Road, Balwyn North,Vic, Australia",145.099678,-37.7898438,3104
Bayswater,"Scoresby Road at the intersection of Scoresby Road and Mountain Highway, Bayswater,Vic, Australia",145.2712397,-37.8385569,3153
Bayswater,"Intersection of Bayswater Road and Mountain Highway, Bayswater,Vic, Australia",145.2712397,-37.8385569,3153
Bayswater North,"Dorset Road at the intersection of Dorset Road and Canterbury Road, Bayswater North,Vic, Australia",145.2874639,-37.8261752,3153
Bayswater North,"Canterbury Road at the intersection of Canterbury Road and Bayswater Road, Bayswater North,Vic, Australia",145.2694897,-37.8323091,3153
Bell Park,"At the intersection of Thompson Road and Separation Street, Bell Park,Vic, Australia",144.343405,-38.110819,3215
Belmont,"At the intersection of Settlement Road and Torquay Road, Belmont,Vic, Australia",144.3448076,-38.1824142,3216
Bendigo,"High Street at the intersection of High Street and Don Street, Bendigo,Vic, Australia",144.2685691,-36.7592422,3550
Bentleigh East,"Centre Road at the intersection of Centre Road and Warrigal Road, Bentleigh East,Vic, Australia",145.0824442,-37.923995,3165
Blackburn,"Whitehorse Road at the intersection of Whitehorse Road and Surrey Road, Blackburn,Vic, Australia",145.1562265,-37.8176656,3130
Box Hill,"Station Street at the intersection of Station Street and Thames Street, Box Hill,Vic, Australia",145.1247744,-37.81368,3128
Box Hill,"Elgar Road at the intersection of Elgar Road and Arnold Street, Box Hill,Vic, Australia",145.1155616,-37.8139357,3128
Box Hill,"Canterbury Road at the intersection of Canterbury Road and Station Street, Box Hill,Vic, Australia",145.1218227,-37.8287368,3128
Box Hill,"Whitehorse Road at the intersection of Whitehorse Road and Elgar Road, Box Hill,Vic, Australia",145.1150073,-37.8169694,3128
Box Hill North,"Middleborough Road at the intersection of Middleborough Road and Eastern Freeway, Box Hill North,Vic, Australia",145.1291232,-37.7971608,3129
Braeside,"Springvale Road at the intersection of Springvale Road and Lower Dandenong Road, Braeside,Vic, Australia",145.1445853,-37.9907564,3195
Braybrook,"Duke Street at the intersection of Duke Street and Ballarat Road, Braybrook,Vic, Australia",144.8471669,-37.7789981,3019
Brighton,"Bay Street at the intersection of Bay Street and St Kilda Street, Brighton,Vic, Australia",144.9932152,-37.9040876,3186
Brighton East,"Thomas Street at the intersection of Thomas Street and North Road, Brighton East,Vic, Australia",145.0259688,-37.9022441,3187
Brighton East,"At the intersection of Nepean Highway and Centre Road, Brighton East,Vic, Australia",145.0180059,-37.9158652,3187
Brunswick West,"Melville Road at the intersection of Melville Road and Albion Street, Brunswick West,Vic, Australia",144.9448605,-37.758668,3055
Bundoora,"At the intersection of Plenty Road and Kingsbury Drive, Bundoora,Vic, Australia",145.0428975,-37.7168339,3083
Burwood,"Intersection of Warrigal Road and Highbury Road, Burwood,Vic, Australia",145.0951206,-37.8533462,3125
Burwood East,"Blackburn Road at the intersection of Blackburn Road and Burwood Highway, Burwood East,Vic, Australia",145.1518683,-37.8527358,3151
Camberwell,"Glen Iris Road at the intersection of Glen Iris Road and Toorak Road, Camberwell,Vic, Australia",145.0685459,-37.8473377,3124
Camberwell,"Prospect Hill Road at the intersection of Prospect Hill Road and Burke Road, Camberwell,Vic, Australia",145.0573413,-37.8281369,3124
Camberwell,"Seymour Grove at the intersection of Seymour Grove and Camberwell Road, Camberwell,Vic, Australia",145.0622034,-37.8360357,3124
Camberwell,"Intersection of Toorak Road and Burke Road, Camberwell,Vic, Australia",145.0539735,-37.8456969,3124
Campbellfield,"Sydney Road at the intersection of Sydney Road and Barry Road, Campbellfield,Vic, Australia",144.9550833,-37.6672299,3061
Campbellfield,"Hume Highway at the intersection of Hume Highway and Somerton Road, Campbellfield,Vic, Australia",144.9511309,-37.6432706,3061
Campbellfield,"Sydney Road at the intersection of Sydney Road and Mahoneys Road, Campbellfield,Vic, Australia",144.9580242,-37.689627,3061
Carlton,"Victoria Parade at the intersection of Victoria Parade and Nicholson Street, Carlton,Vic, Australia",144.9731442,-37.8077165,3053
Carlton,"Princes Street at the intersection of Princes Street and Rathdowne Street, Carlton,Vic, Australia",144.9701268,-37.7992522,3053
Carlton,"Nicholson Street at the intersection of Nicholson Street and Elgin Street, Carlton,Vic, Australia",144.9747873,-37.7979985,3053
Carrum Downs,"Hall Road at the intersection of Hall Road and Dandenong-Frankston Road, Carrum Downs,Vic, Australia",145.1727175,-38.0995884,3201
Caulfield,"Glen Eira Road at the intersection of Glen Eira Road and Kooyong Road, Caulfield,Vic, Australia",145.0163096,-37.8791429,3162
Caulfield North,"Balaclava Road at the intersection of Balaclava Road and Kooyong Road, Caulfield North,Vic, Australia",145.0177719,-37.8718037,3161
Caulfield North,"Dandenong Road at the intersection of Dandenong Road and Orrong Road, Caulfield North,Vic, Australia",145.0105127,-37.8604002,3161
Caulfield North,"Hawthorn Road at the intersection of Hawthorn Road and Inkerman Road, Caulfield North,Vic, Australia",145.025282,-37.8696057,3161
Caulfield North,"Intersection of Glen Eira Road and Kooyong Road, Caulfield North,Vic, Australia",145.0163096,-37.8791429,3161
Chadstone,"Warrigal Road at the intersection of Warrigal Road and Batesford Road, Chadstone,Vic, Australia",145.0915361,-37.8754333,3148
